Niveau scolaire,bas,bon,moyen
analphabète,33.33333333333333,11.11111111111111,55.55555555555556
primaire,23.076923076923077,19.230769230769234,57.692307692307686
secondaire,16.666666666666664,13.88888888888889,69.44444444444444
supérieur,0.0,22.22222222222222,77.77777777777779
