n_clusters,silhouette_score
2,0.1689784875588536
3,0.09526051003248107
4,0.12148138915363382
5,0.12913163923163484
6,0.12731807537899614
7,0.16312939920610525
8,0.13411660238571593
9,0.13126207057679115
10,0.1813088894139677
