Enhanced_Cluster,Age,Nb enfants,Nb pers à charge,H travail / jour,J travail / Sem,Ancienneté agricole,Poids,Taille,TAS,TAD,GAD
0,38.44827586206897,2.103448275862069,0.9310344827586207,5.324137931034483,5.827586206896552,8.620689655172415,67.72413793103448,159.68965517241378,113.10344827586206,70.6896551724138,0.9262068965517242
1,59.25,1.625,1.4166666666666667,7.333333333333333,6.875,27.75,67.625,155.95833333333334,138.33333333333334,79.16666666666667,1.0054166666666666
2,67.0,6.0,1.0,6.0,6.5,42.5,57.5,154.5,135.0,35.0,2.015
3,43.92,3.12,2.2,6.152,6.84,15.88,85.76,164.12,124.0,75.2,1.1672
