Component,Eigenvalue,Explained_Inertia(%),Cumulative_Inertia(%)
Component 1,0.2208500196625731,14.33765946387453,14.33765946387453
Component 2,0.17133393447401193,11.1230581317013,25.460717595575833
Component 3,0.16519231549440377,10.72434210885001,36.18505970442584
Component 4,0.15964076502651622,10.363933537337559,46.548993241763405
Component 5,0.15737914048013849,10.217108091586425,56.76610133334983
Component 6,0.1465248830828082,9.512445956921757,66.27854729027159
Component 7,0.138589708181739,8.997291664920146,75.27583895519173
Component 8,0.1304173623715737,8.466740155682366,83.74257911087409
Component 9,0.12877129687288602,8.359877015658764,92.10245612653286
Component 10,0.12164975211860134,7.897543873467155,100.00000000000003
