,0,1,2,3,4,5,6,7,8,9
Situation maritale__célibataire,-0.24227778247266793,0.34399459773755253,-0.24986860028136165,-0.44444218768791505,-0.7475740130229233,0.5026007042015634,-0.09376673879620755,0.818953297782779,-1.1067774891510829,-0.2969171432127702
Situation maritale__divorcée,0.6634459252032546,-1.0876854829866998,-0.2970572158050118,0.15764874316761784,0.3114753153476084,0.45732067784876956,-1.8361146335848444,1.115482946110749,1.0155933794310155,-0.7708858151587606
Situation maritale__mariée,0.06642965920974889,0.034275672794265494,0.027241407365065695,0.11101100870238166,0.18971397870951587,-0.11965693444865425,0.039225780069190884,-0.15143285530299216,0.1959985779813404,0.06767398416635971
Situation maritale__veuve,-0.7117261933553305,-0.9419842487946,0.406615092676464,-0.6050317425045516,-1.0879042865356412,0.2737844420876222,0.558109812392238,-0.4247955709358915,-0.5511361977561434,0.1360998007943338
Domicile__mahdia,1.0878055062871483,-0.7777244169760128,0.37549824340778487,-0.03298651586551821,-0.08559966348832977,-0.04557689090511978,-0.2160440963687017,-0.11951850280756449,0.019318078136666264,0.0315087898031612
Domicile__monastir,-0.8354023680735718,-0.23471235546746866,-0.185747334281726,0.15006414764099832,0.08759609849078995,0.11342123607333354,-0.05900941230532359,0.05976208038423241,0.4112628998694896,-0.15533462428408942
Domicile__sfax,0.14403556097496978,0.8830743752390843,-0.07190920053882441,-0.15219762560503894,-0.037240082164828034,-0.09897647575330193,0.23797137842641097,0.022129703209755873,-0.5024478680256915,0.15959345893423996
Niveau socio-économique__bas,0.4926381277408202,-0.8659978059413173,0.5237201302624991,-0.027700972679630224,0.5741798589140892,0.44054577406757517,0.28601570438412843,-0.1266747703158559,-0.0471253322385742,-0.5603560681225102
Niveau socio-économique__bon,-0.3404720194086045,-0.009982402472192405,-0.28654738414552794,-0.3747724955431843,0.33996695793267634,-0.08915378386069435,0.12559392719491547,-0.4893032803114209,0.7143580833095264,0.09194245384155356
Niveau socio-économique__moyen,-0.056989147380777413,0.2523026600241975,-0.07943626846241597,0.10168378908184347,-0.25062054493915653,-0.10479206578508832,-0.11390301190953502,0.15886661920742887,-0.16499567498933157,0.13865556003648963
Tabagisme__non,-0.19843365515641492,0.1600671713688241,-0.02108263156837771,0.05750346897008095,0.007623214573707559,0.01664235941649636,-0.05381585013599791,-0.07003576027202246,0.05489859212198325,-0.07765786992009395
Tabagisme__passif,0.8598791723444648,-0.6936244092649042,0.0913580701296363,-0.2491816988703501,-0.033033929819399545,-0.07211689080481727,0.23320201725599138,0.3034882945120966,-0.23789389919526144,0.3365174363204073
Neffa__non,1.5793976884761998e-16,5.691547955085545e-17,-1.0986412168629138e-16,1.151293523474738e-16,-6.254315688268655e-17,4.954720674294557e-17,6.946522816333136e-17,-8.147940796467822e-17,-2.1936209843782863e-16,4.5010128862554925e-17
Fumées de Tabouna__non,0.3634444070017274,0.7869755154695373,-0.21454516577081081,-0.22385182353461336,0.23634005848799178,0.04925626164496983,0.188168733307194,0.30949918032733537,-0.5347660754267447,0.23494110750727767
Fumées de Tabouna__oui,-0.12936156859383494,-0.2801099292349199,0.07636353357944102,0.0796760727835066,-0.08412103776691238,-0.017531889738039996,-0.06697531185510285,-0.11016072520125508,0.19034046752477332,-0.08362310606191235
AT en milieu agricole__non,0.26140636146943075,-0.11015692930739353,-0.3588672874160229,-0.09255105613901987,0.23323268333569622,-0.03641371545092358,-0.1543945227801229,-0.15147997171721586,-0.13284902226813147,0.037595372576295485
AT en milieu agricole__oui,-0.5750939952327471,0.24234524447626607,0.7895080323152502,0.20361232350584424,-0.513111903338532,0.08011017399203203,0.33966795011627077,0.33325593777787454,0.2922678489898887,-0.08270981966784992
Mécanisme AT__chute,-0.5391069092064366,0.12776819043118998,0.5004858149229994,-0.3079491700101838,-0.7950531051403894,-0.3518404034000906,0.8071813227779829,0.4388481702695123,0.2616105082515282,-0.5056591926642738
Mécanisme AT__chute vache,0.11080316889265816,1.3997835897520103,-1.2782207377989268,4.063603631580701,-2.7947164682464845,1.8747022817193286,-1.883709804095478,-0.30869111506541314,1.7461660746995267,-2.2303112331725483
Mécanisme AT__coup de soleil,0.3342899934188011,1.7484380663240027,5.268347243962901,0.5552336206229592,0.8159707628928442,-0.11571243100992784,-3.1024730077039773,-0.5560635306416608,0.41967077693460353,2.069826368207789
Mécanisme AT__coupure,-1.3985840990739087,-0.8506700497458857,0.5560642258042064,0.30749695511656777,-0.47141889012184995,0.11891500411937336,0.4955836008487261,0.3311222667948287,-0.04013881194650452,0.9707968516360772
Mécanisme AT__missing,-0.39243485844212084,0.7903691356139851,1.0686585298440183,1.5932966986062473,0.24723033187567425,-0.9506143951418914,0.31041827111908377,1.3949229603055884,0.4447207733153639,-0.32047480235771475
Mécanisme AT__morsure chien,-0.30489470391574996,0.7600580274926245,0.018436132509701043,-0.26532906964469627,-0.736460645665775,0.2389538233891568,-0.478821217701207,1.734420269100289,0.8867576160731114,0.9072924929927224
"Mécanisme AT__morsure chien, coupure",-0.17394837116271025,0.9616583402736716,0.667396134399894,0.3824990131957587,-0.3470341050367367,0.5870661968712471,-0.5542559807966211,-0.30127549584525093,-0.08996423973378756,0.8394708244991967
"Mécanisme AT__morsure chien, coupure, chute",-0.677531589031182,1.0562797622626274,3.632526580802158,0.2831594929583057,1.104312068277925,0.03608027239111496,0.7968693349698541,-0.6183591931844539,-2.3054441724327113,-2.2833057302985322
