Niveau socio-économique,jamais,parfois,souvent,toujours
bas,93.33333333333333,0.0,6.666666666666667,0.0
bon,76.92307692307693,15.384615384615385,7.6923076923076925,0.0
moyen,76.92307692307693,11.538461538461538,9.615384615384617,1.9230769230769231
