Niveau scolaire,jamais,parfois,souvent,toujours
analphabète,100.0,0.0,0.0,0.0
primaire,73.07692307692307,11.538461538461538,11.538461538461538,3.8461538461538463
secondaire,83.33333333333334,11.11111111111111,5.555555555555555,0.0
supérieur,66.66666666666666,11.11111111111111,22.22222222222222,0.0
