Situation maritale,jamais,parfois,souvent,toujours
célibataire,90.9090909090909,0.0,9.090909090909092,0.0
divorcée,100.0,0.0,0.0,0.0
mariée,77.77777777777779,11.11111111111111,9.523809523809524,1.5873015873015872
veuve,75.0,25.0,0.0,0.0
