Component,Eigenvalue,Explained_Inertia(%),Cumulative_Inertia(%)
Component 1,0.6520362685870686,26.08145074348272,26.08145074348272
Component 2,0.5791135609936984,23.164542439747915,49.24599318323064
Component 3,0.5000000000000002,19.99999999999999,69.24599318323062
Component 4,0.4208864390063024,16.83545756025208,86.0814507434827
Component 5,0.3479637314129324,13.918549256517284,99.99999999999999
