Component,Eigenvalue,Explained_Inertia(%),Cumulative_Inertia(%)
Component 1,0.6908260093025329,34.54130046512666,34.54130046512666
Component 2,0.5000000000000001,25.000000000000018,59.54130046512668
Component 3,0.4999999999999998,25.0,84.54130046512668
Component 4,0.3091739906974664,15.458699534873327,100.0
Component 5,7.435435190596618e-33,3.7177175952983105e-31,100.0
